date,"Education, Science & Tech",Entertainment,Gaming,Howto & Style,Music,News & Politics,Others
2008-01-07,437465278,3380267324,260520374,599837226,33434695711,98275050,978296594
2008-01-14,456642085,6873307209,278991607,843605819,33833854712,141560216,1035245102
2008-01-21,795571609,8793592907,189849635,558711427,19641971703,52865505,1090063831
2008-01-28,709618547,4556759149,498935885,376203831,30089273422,400342773,933876615
2008-02-04,890774263,4288350504,379558734,750961252,26059289670,60659728,1256783548
2008-02-11,726574167,9169606700,195273551,992273857,14035316861,99199593,1008739418
2008-02-18,1144257142,8804800773,184154635,402169627,9275141569,122541824,2167597499
2008-02-25,375196493,4917359488,163851645,1047664599,25944701588,517742775,2145376883
2008-03-03,554892636,8144776963,357071194,620967982,21152065883,163722883,895219029
2008-03-10,461613332,5970398422,265407133,389935781,14059323727,129272400,762350703
2008-03-17,1276671121,3950566147,305450128,517584795,19487548012,87279635,920361772
2008-03-24,459473312,5720508688,122128449,566622285,18481648768,107428466,2742035195
2008-03-31,951141403,3601451639,199520869,452144556,20840266564,142330416,1394149151
2008-04-07,457912045,5795415927,123434007,501267925,16369112303,1223353355,3144495606
2008-04-14,780128663,6704285938,163869239,524123222,12779941996,361773273,2313437183
2008-04-21,816629111,5983854186,153566427,642807714,7290992707,100986948,833266530
2008-04-28,719303471,8926466459,149004319,460739189,10337697340,51806368,2105378773
2008-05-05,728018610,5328208828,153912949,354540418,11720336258,115982751,1415464961
2008-05-12,814248937,5369042207,349231739,510168174,14661774843,100554730,1930301308
2008-05-19,352607474,4057945346,139022726,598342093,23268516643,261041447,1109038549
2008-05-26,819135021,2771540059,349417759,637593457,18697558155,188042235,2545188355
2008-06-02,422763486,4974536148,178382879,409419098,17288016632,77673685,1402215518
2008-06-09,315327011,3358000751,271277519,309916191,28220167264,45511817,3237932011
2008-06-16,834466684,5413709620,405627046,804163062,11626068230,53149874,877162204
2008-06-23,498441231,6037484351,734521397,849544108,18234518183,78501689,1116581336
2008-06-30,689231112,6735467718,318454717,697927505,12421551333,207380433,1330095988
2008-07-07,586920679,5875238177,394177645,381926044,10315445817,87407463,2127221922
2008-07-14,412429147,21488657726,299752894,1109098339,23980673291,174685290,811368450
2008-07-21,450542723,4956181840,425914196,849102865,15162674194,162909103,1170174050
2008-07-28,543398756,7671996588,472187746,822111727,129967727833,125479225,2025300793
2008-08-04,492598047,13968861801,864864385,1752588156,13274466738,117266311,2163184637
2008-08-11,511480943,4460311460,611126526,467094977,9992406024,220654651,1264926207
2008-08-18,1083348629,5804826268,568482450,877353699,17701897576,181512790,1247317491
2008-08-25,726182231,5219155876,508955885,500578225,17879243437,160857532,1295207035
2008-09-01,521834697,6494255835,874115253,518167089,28935727599,254360949,728257732
2008-09-08,650451948,8421298231,579731984,673676636,26905251239,290096809,890741379
2008-09-15,1507504624,3706767854,686682221,935143044,18494769563,155997019,696609789
2008-09-22,855968735,15562430136,760744076,881633843,15364484262,330625877,1798791527
2008-09-29,541030092,7564772861,1154719623,533299013,18251374969,334386795,7510921674
2008-10-06,768110016,4557510302,813618904,1067062842,16919537003,171185935,1592999134
2008-10-13,638413870,5041655253,1977419919,696228996,46621917988,219337992,1621365033
2008-10-20,1190624979,6332199045,874331047,718534586,25893492872,228412780,2071373067
2008-10-27,571794570,6130089699,1265928722,810144020,35010464348,221112933,1384736267
2008-11-03,1034830633,6937425537,2079235638,942419879,21850767725,4865687233,1451026324
2008-11-10,750424579,4597570983,1925580175,1115111973,19592193280,168417814,2034278662
2008-11-17,1913830994,8893116852,1043134660,860365112,11281326376,203370345,1242914856
2008-11-24,799991825,7255616881,1212738585,797220493,19800474965,118611536,1660362050
2008-12-01,1762204404,5310872380,1054297790,1062448515,20012647750,77499619,2474911259
2008-12-08,713039299,10314756374,1669226286,761189365,14476579302,407766904,894541537
2008-12-15,732148629,8879563962,1082883106,841481478,14355030119,156937142,1954294274
2008-12-22,591282396,4112731478,922959134,970701607,13531304499,89168908,1089260270
2008-12-29,717573239,4392305154,809655037,1550353018,18189046722,124260226,1415676235
2009-01-05,1017047273,6528046872,1138443587,985323958,15185094689,436554541,2239918559
2009-01-12,1373136912,8615622466,1208753386,942079077,24774919129,345975349,2037854220
2009-01-19,1686110452,14627647300,741719879,872895024,26940862603,277965580,2126662264
2009-01-26,1122876147,17096380371,898115058,1599086520,11325380894,228159411,2117887235
2009-02-02,723245084,24142276325,642742742,1768984390,12657704896,120826445,1942751891
2009-02-09,1002562391,16936387036,1290885072,1014070668,26263341473,101596631,1679352155
2009-02-16,1499108790,20456752167,926940146,742037416,37856476049,129210385,3448808166
2009-02-23,925551476,14366583106,1152596960,1426423392,139151996272,62791911,3496388515
2009-03-02,894161842,23663546450,1128799693,1055815509,96297368420,168077865,3202763579
2009-03-09,1627233858,21948697459,869267784,917557734,80270897215,366630000,3209948318
2009-03-16,1259276578,10195563091,904910863,1197314956,24246368428,166203733,2749674292
2009-03-23,833222101,15094453025,979615812,983858128,15797644645,136908091,2015847931
2009-03-30,873642856,14929467881,1383127615,1040535632,13594510679,515002339,2037731778
2009-04-06,595551138,12772404485,984105720,1171473999,22045785713,393788068,2504950089
2009-04-13,921811388,13009049253,979921544,697808393,26217722442,781714093,3009391240
2009-04-20,956626205,11390643475,1672876877,774478868,28461543440,177754553,2219540809
2009-04-27,617836764,14425008740,1188561082,1009727433,26302299556,576551104,3672407023
2009-05-04,749147604,18187551870,1789568692,1319492376,13586609615,271081104,3437897433
2009-05-11,686952681,15964231996,1161415713,1031402609,26026805101,243714088,2987464962
2009-05-18,1453772105,24324869067,2229069112,963758549,14585088394,324389593,8793196577
2009-05-25,749376600,16012174417,1577667446,1296268850,15769571276,95063708,3021648340
2009-06-01,1062924187,10983274381,2703967544,984326244,25545597415,287331166,6398587030
2009-06-08,1022396919,9550837436,4128108567,1578273827,47519681211,377313553,3574228248
2009-06-15,886434867,10355552248,2285011579,1011485785,697495533008,323599646,3471968952
2009-06-22,681949938,10988633157,1576398453,1038737484,53045808263,282213578,2772275458
2009-06-29,1559517454,14884178671,1561371934,1876444070,24990601202,283688339,3262148984
2009-07-06,1907387548,13387601426,1593467615,1336290703,37464127517,568111185,4925388733
2009-07-13,1309138629,18916267907,1572282593,1617781400,18752985538,244935391,3139018653
2009-07-20,1131215924,9697585127,1424895753,1780669670,47993170986,229697950,3260476540
2009-07-27,1367559272,11997026783,1742444340,1481311775,19175827460,327461000,3726508080
2009-08-03,833247543,12981173238,1769811374,1469560142,17786142207,215127153,1801984600
2009-08-10,991185240,7762986689,1725527053,1356342344,26097170311,346428466,3013594069
2009-08-17,1680939587,10286195337,1979562304,1362084354,19503769008,212937351,1992444933
2009-08-24,1002406760,16165057195,2788227457,1349241901,16216730622,253611592,1800494488
2009-08-31,1373780308,17482085913,2218027417,1651058107,45676369638,386870095,3091943688
2009-09-07,2108253161,11338535866,1761480120,2183472967,20034643173,227675299,2286778096
2009-09-14,1287580314,20959287797,2491027406,1400703064,34928407063,139541746,3163975182
2009-09-21,6758002831,12518233481,1982961492,2007416419,41640457697,214047260,2405191745
2009-09-28,1288980759,25491374713,2089686977,2424997483,1127727080343,216467576,2887804623
2009-10-05,1812306727,63737251423,2015564749,2922867883,406124430959,155398485,1855326047
2009-10-12,1862730892,10106885995,2736603318,1635942392,42931440060,301147920,3696375852
2009-10-19,1151313051,11495310256,1633080654,1972639073,688633655936,180631098,2961479484
2009-10-26,2106261478,15610792914,1701513419,1706820763,561669365303,187209200,4694036368
2009-11-02,1340442187,12561000992,2076407449,1159710833,33801605415,1353959794,6611079230
2009-11-09,1097927951,13742238634,4735187391,971430016,114315435213,239381685,4630417202
2009-11-16,1090730578,10124804508,2798896858,1555155114,155926834637,165216515,2463329853
2009-11-23,1083705894,12930206645,3660230974,1338131973,282319451853,186808799,2126461042
2009-11-30,1244046517,15528664294,3354282718,1549370044,142978727760,247586504,3871431105
2009-12-07,1222635401,12961853198,2541840496,911817085,205354937169,212843417,4459273252
2009-12-14,2378854806,18785054825,3973800347,1797395745,157788188456,182435031,4087014719
2009-12-21,2127265554,21417320441,2149812082,1274807814,315367915653,225179483,4775802163
2009-12-28,9907042264,12989455690,1480667712,1385808590,18746437193,534825804,1416174881
2010-01-04,2794889470,13410400464,1825382903,1257000408,33480968381,232326877,2928592704
2010-01-11,1208552980,19251363677,1924799289,1388247587,44251723673,268064330,2866193321
2010-01-18,1927923078,13692242794,2363119785,2292492053,54716689871,157733078,2994179783
2010-01-25,1175356363,15177133592,2175295007,1549064912,42716629157,231041751,2628834433
2010-02-01,4736948760,16619568274,7027365628,1605069198,34688896320,189736087,3217885194
2010-02-08,1538172291,11705351673,2062986372,2501426053,70974472868,355073125,3913287754
2010-02-15,946637516,17190963543,2821405988,1585044966,43771389161,212401918,6148478835
2010-02-22,1010303553,18723247238,1704947652,1436501152,71097271395,616809011,5608854593
2010-03-01,1731541501,17136166079,2304152082,1338763139,35160968111,675419400,6576673699
2010-03-08,2624940605,15536877681,3729071048,1448424023,65802419233,425896671,3449100529
2010-03-15,1606658364,18342889070,2720841370,1475535206,49838079138,507682154,2947956850
2010-03-22,1194401006,16971712208,1758508673,1698606033,26713574693,261045824,2992366808
2010-03-29,1094167631,18406604920,2120914297,1143361831,60140289582,225762570,8495128556
2010-04-05,1212224005,14122491499,1898576560,1430876578,32748598519,414728381,4768561844
2010-04-12,1626194300,15523739870,1731871088,1605105031,27325912283,185135674,2839207086
2010-04-19,1723910002,17077863407,2464022054,1239800213,55056591809,321133600,3800641315
2010-04-26,2508780260,14991527021,2377522147,1732312427,65236516226,363008491,3536030916
2010-05-03,1446653479,21532158392,2020459917,1567265104,42545629591,287192495,3349576757
2010-05-10,2037976607,20125172709,3441806886,1778670661,78657254692,883116999,4446670975
2010-05-17,3350194054,17245792513,4510625154,1474450864,87931636403,215119684,4278061774
2010-05-24,1035352463,14753330090,2094109647,2234554931,48640328989,289632380,3544109571
2010-05-31,2579544746,22903082186,5004370058,1662778411,119499402460,431042602,4462383967
2010-06-07,5389498175,23070642403,3512900670,1600326346,46093534064,258319877,7385725124
2010-06-14,1458608889,8609815230,3437793049,1513835493,98859680755,292949787,5088315228
2010-06-21,1248981941,14789294734,2616019265,1433894822,29118829125,163704324,5167446494
2010-06-28,3111517360,13478199569,2482349473,1568717905,62132525818,234565900,4662187635
2010-07-05,2193789905,13860365426,2905855236,2951512736,33184685731,216217716,6480495462
2010-07-12,1704746008,10975952477,1837362972,1426662981,105331119432,207139614,6200103791
