date,"Education, Science & Tech",Entertainment,Gaming,Howto & Style,Music,News & Politics,Others
2005-07,2.0,3.0,0.0,14.0,0.0,0.0,100.0
2005-08,1.0,0.0,0.0,1.0,0.0,0.0,31.0
2005-09,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2005-10,0.0,5.0,0.0,1.0,0.0,0.0,2.0
2005-11,7.0,18.0,0.0,4.0,1.0,0.0,12.0
2005-12,0.0,31.0,0.0,6.0,9.0,7.0,40.0
2006-01,3.0,44.0,0.0,8.0,18.0,1.0,70.0
2006-02,3.0,74.0,1.0,19.0,44.0,14.0,133.0
2006-03,3.0,126.0,1.0,30.0,48.0,9.0,70.0
2006-04,1.0,351.0,5.0,22.0,100.0,18.0,143.0
2006-05,3.0,217.0,3.0,39.0,249.0,48.0,166.0
2006-06,17.0,826.0,6.0,37.0,260.0,84.0,230.0
2006-07,45.0,664.0,22.0,39.0,251.0,50.0,380.0
2006-08,20.0,1135.0,10.0,58.0,450.0,112.0,432.0
2006-09,21.0,802.0,13.0,150.0,531.0,137.0,721.0
2006-10,36.0,1162.0,42.0,178.0,757.0,157.0,810.0
2006-11,37.0,1161.0,57.0,161.0,756.0,216.0,989.0
2006-12,33.0,1502.0,57.0,211.0,676.0,194.0,996.0
2007-01,64.0,1896.0,84.0,277.0,858.0,261.0,1321.0
2007-02,118.0,1984.0,233.0,368.0,1006.0,276.0,1675.0
2007-03,73.0,2749.0,206.0,536.0,1408.0,302.0,2017.0
2007-04,59.0,2913.0,169.0,334.0,1451.0,402.0,2028.0
2007-05,142.0,3057.0,192.0,518.0,1649.0,2529.0,2180.0
2007-06,432.0,3359.0,440.0,479.0,1645.0,700.0,2036.0
2007-07,345.0,4511.0,514.0,807.0,1579.0,839.0,2286.0
2007-08,249.0,4070.0,509.0,523.0,1835.0,837.0,2037.0
2007-09,231.0,3622.0,390.0,621.0,1771.0,923.0,2728.0
2007-10,413.0,4765.0,266.0,1775.0,2017.0,1286.0,3145.0
2007-11,910.0,5110.0,179.0,747.0,2463.0,1268.0,3304.0
2007-12,1449.0,4235.0,310.0,735.0,2486.0,965.0,3265.0
2008-01,2889.0,4971.0,421.0,774.0,2807.0,1222.0,3752.0
2008-02,2341.0,5808.0,708.0,950.0,2572.0,1254.0,3899.0
2008-03,2099.0,6325.0,586.0,928.0,2980.0,1334.0,4157.0
2008-04,2972.0,6229.0,430.0,1127.0,3401.0,1683.0,5137.0
2008-05,2803.0,6928.0,631.0,1144.0,3617.0,1732.0,6356.0
2008-06,2834.0,6678.0,862.0,1070.0,3658.0,1538.0,6122.0
2008-07,3098.0,6768.0,1867.0,1194.0,4009.0,2346.0,5494.0
2008-08,3033.0,6458.0,2398.0,1384.0,4325.0,1975.0,5199.0
2008-09,3128.0,6607.0,2524.0,1357.0,4570.0,2331.0,4864.0
2008-10,3426.0,7776.0,3673.0,2537.0,5166.0,2450.0,6111.0
2008-11,3522.0,9044.0,3849.0,5246.0,4812.0,2080.0,6398.0
2008-12,3278.0,8729.0,3713.0,4937.0,5347.0,1717.0,6306.0
2009-01,4555.0,9579.0,3796.0,4154.0,6245.0,2610.0,7584.0
2009-02,3880.0,8702.0,4201.0,2347.0,6701.0,2320.0,7253.0
2009-03,4588.0,11265.0,5310.0,2181.0,7788.0,2655.0,8523.0
2009-04,5223.0,10328.0,4801.0,2224.0,7708.0,4218.0,9375.0
2009-05,4794.0,11174.0,5280.0,3823.0,8533.0,3946.0,8986.0
2009-06,5702.0,12251.0,6131.0,3045.0,9883.0,5442.0,10989.0
2009-07,5713.0,14850.0,6099.0,3487.0,10258.0,5998.0,11931.0
2009-08,5372.0,11993.0,6137.0,2979.0,8763.0,5503.0,10904.0
2009-09,6471.0,13674.0,6688.0,2832.0,8815.0,5417.0,11316.0
2009-10,6198.0,15199.0,6756.0,3520.0,14614.0,4834.0,13017.0
2009-11,7012.0,14314.0,6727.0,2963.0,10743.0,4791.0,11903.0
2009-12,5992.0,15299.0,7130.0,3070.0,10765.0,4855.0,11471.0
2010-01,6811.0,15286.0,7848.0,3349.0,10575.0,5248.0,13372.0
2010-02,6917.0,14843.0,7900.0,3633.0,10456.0,5336.0,14445.0
2010-03,9167.0,17164.0,9488.0,4027.0,11940.0,6368.0,16668.0
2010-04,9206.0,16100.0,8591.0,3991.0,12738.0,6375.0,16534.0
2010-05,9869.0,16999.0,9773.0,4407.0,13583.0,6558.0,16657.0
