date,"Education, Science & Tech",Entertainment,Gaming,Howto & Style,Music,News & Politics,Others
2008-01-07,437,3380,260,599,33434,98,978
2008-01-14,456,6873,278,843,33833,141,1035
2008-01-21,795,8793,189,558,19641,52,1090
2008-01-28,709,4556,498,376,30089,400,933
2008-02-04,890,4288,379,750,26059,60,1256
2008-02-11,726,9169,195,992,14035,99,1008
2008-02-18,1144,8804,184,402,9275,122,2167
2008-02-25,375,4917,163,1047,25944,517,2145
2008-03-03,554,8144,357,620,21152,163,895
2008-03-10,461,5970,265,389,14059,129,762
2008-03-17,1276,3950,305,517,19487,87,920
2008-03-24,459,5720,122,566,18481,107,2742
2008-03-31,951,3601,199,452,20840,142,1394
2008-04-07,457,5795,123,501,16369,1223,3144
2008-04-14,780,6704,163,524,12779,361,2313
2008-04-21,816,5983,153,642,7290,100,833
2008-04-28,719,8926,149,460,10337,51,2105
2008-05-05,728,5328,153,354,11720,115,1415
2008-05-12,814,5369,349,510,14661,100,1930
2008-05-19,352,4057,139,598,23268,261,1109
2008-05-26,819,2771,349,637,18697,188,2545
2008-06-02,422,4974,178,409,17288,77,1402
2008-06-09,315,3358,271,309,28220,45,3237
2008-06-16,834,5413,405,804,11626,53,877
2008-06-23,498,6037,734,849,18234,78,1116
2008-06-30,689,6735,318,697,12421,207,1330
2008-07-07,586,5875,394,381,10315,87,2127
2008-07-14,412,21488,299,1109,23980,174,811
2008-07-21,450,4956,425,849,15162,162,1170
2008-07-28,543,7671,472,822,129967,125,2025
2008-08-04,492,13968,864,1752,13274,117,2163
2008-08-11,511,4460,611,467,9992,220,1264
2008-08-18,1083,5804,568,877,17701,181,1247
2008-08-25,726,5219,508,500,17879,160,1295
2008-09-01,521,6494,874,518,28935,254,728
2008-09-08,650,8421,579,673,26905,290,890
2008-09-15,1507,3706,686,935,18494,155,696
2008-09-22,855,15562,760,881,15364,330,1798
2008-09-29,541,7564,1154,533,18251,334,7510
2008-10-06,768,4557,813,1067,16919,171,1592
2008-10-13,638,5041,1977,696,46621,219,1621
2008-10-20,1190,6332,874,718,25893,228,2071
2008-10-27,571,6130,1265,810,35010,221,1384
2008-11-03,1034,6937,2079,942,21850,4865,1451
2008-11-10,750,4597,1925,1115,19592,168,2034
2008-11-17,1913,8893,1043,860,11281,203,1242
2008-11-24,799,7255,1212,797,19800,118,1660
2008-12-01,1762,5310,1054,1062,20012,77,2474
2008-12-08,713,10314,1669,761,14476,407,894
2008-12-15,732,8879,1082,841,14355,156,1954
2008-12-22,591,4112,922,970,13531,89,1089
2008-12-29,717,4392,809,1550,18189,124,1415
2009-01-05,1017,6528,1138,985,15185,436,2239
2009-01-12,1373,8615,1208,942,24774,345,2037
2009-01-19,1686,14627,741,872,26940,277,2126
2009-01-26,1122,17096,898,1599,11325,228,2117
2009-02-02,723,24142,642,1768,12657,120,1942
2009-02-09,1002,16936,1290,1014,26263,101,1679
2009-02-16,1499,20456,926,742,37856,129,3448
2009-02-23,925,14366,1152,1426,139151,62,3496
2009-03-02,894,23663,1128,1055,96297,168,3202
2009-03-09,1627,21948,869,917,80270,366,3209
2009-03-16,1259,10195,904,1197,24246,166,2749
2009-03-23,833,15094,979,983,15797,136,2015
2009-03-30,873,14929,1383,1040,13594,515,2037
2009-04-06,595,12772,984,1171,22045,393,2504
2009-04-13,921,13009,979,697,26217,781,3009
2009-04-20,956,11390,1672,774,28461,177,2219
2009-04-27,617,14425,1188,1009,26302,576,3672
2009-05-04,749,18187,1789,1319,13586,271,3437
2009-05-11,686,15964,1161,1031,26026,243,2987
2009-05-18,1453,24324,2229,963,14585,324,8793
2009-05-25,749,16012,1577,1296,15769,95,3021
2009-06-01,1062,10983,2703,984,25545,287,6398
2009-06-08,1022,9550,4128,1578,47519,377,3574
2009-06-15,886,10355,2285,1011,697495,323,3471
2009-06-22,681,10988,1576,1038,53045,282,2772
2009-06-29,1559,14884,1561,1876,24990,283,3262
2009-07-06,1907,13387,1593,1336,37464,568,4925
2009-07-13,1309,18916,1572,1617,18752,244,3139
2009-07-20,1131,9697,1424,1780,47993,229,3260
